server cache hits, server cache misses, client cache hits, client cache misses, bandwith
259,131,613,390,1259841
259,131,613,390,1259841
259,131,613,390,1259841
259,131,613,390,1259841
259,131,613,390,1259841
259,131,613,390,1259841
259,131,613,390,1259841
259,131,615,390,1259841
259,131,615,390,1259841
259,131,615,390,1259841
260,131,616,391,1262694
261,131,616,392,1266079
262,131,616,393,1268721
263,131,616,394,1272670
263,131,616,394,1272670
263,131,616,394,1272670
265,131,616,396,1280693
266,131,616,397,1283269
267,131,616,398,1287016
267,131,616,398,1287016
267,131,616,398,1287016
269,131,616,400,1293956
269,132,616,401,1298043
269,133,616,402,1299631
269,139,616,408,1315738
271,139,616,410,1321991
272,139,616,411,1326516
273,139,616,412,1328756
275,139,616,414,1334570
277,139,617,416,1341020
277,140,617,417,1345869
277,142,617,419,1353110
277,142,617,419,1353110
277,142,623,419,1353110
279,142,623,421,1359798
280,142,623,422,1364414
281,142,623,423,1367728
282,142,623,424,1372350
285,142,623,427,1382214
285,143,623,428,1386538
285,144,623,429,1390428
285,146,623,431,1397145
285,146,623,431,1397145
285,146,623,431,1397145
285,146,623,431,1397145
285,147,624,432,1401270
285,148,624,433,1405084
285,149,624,434,1407229
285,149,624,434,1407229
285,149,624,434,1407229
285,149,627,434,1407229
285,150,628,435,1411205
285,150,628,435,1411205
285,150,628,435,1411205
285,150,628,435,1411205
285,150,628,435,1411205
288,150,628,438,1421069
289,150,628,439,1423721
290,150,628,440,1426166
291,150,629,441,1429060
292,150,629,442,1432968
293,150,629,443,1435209
294,150,633,444,1438682
296,150,633,446,1445370
297,150,633,447,1449986
298,150,633,448,1453300
299,150,633,449,1457922
299,150,633,449,1457922
299,150,633,449,1457922
299,150,633,449,1457922
299,150,633,449,1457922
300,150,634,450,1462533
301,150,635,451,1465512
302,150,635,452,1470090
303,150,635,453,1473558
304,150,635,454,1477066
306,150,636,456,1483516
307,150,636,457,1486168
308,150,636,458,1488613
309,150,636,459,1491147
311,150,636,461,1497540
313,150,637,463,1501653
314,150,639,464,1506642
315,150,642,465,1509087
317,150,642,467,1515395
318,150,642,468,1519303
318,151,642,469,1523261
319,152,642,471,1529601
319,152,642,471,1529601
320,152,643,472,1532875
321,152,643,473,1537491
321,153,643,474,1540159
321,153,643,474,1540159
321,153,643,474,1540159
324,153,643,477,1550023
325,153,643,478,1552675
326,153,643,479,1555120
327,153,643,480,1556796
327,154,646,481,1560784
328,156,646,484,1568934
328,160,646,488,1575017
334,160,646,494,1591013
334,160,652,494,1591013
334,160,658,494,1591013
334,160,664,494,1591013
334,160,670,494,1591013
334,160,676,494,1591013
334,160,682,494,1591013
334,160,688,494,1591013
334,160,694,494,1591013
334,160,700,494,1591013
334,160,706,494,1591013
334,160,712,494,1591013
334,160,718,494,1591013
334,160,723,494,1591013
334,160,728,494,1591013
334,160,734,494,1591013
334,160,740,494,1591013
334,160,746,494,1591013
334,160,752,494,1591013
334,160,758,494,1591013
334,160,764,494,1591013
334,160,770,494,1591013
335,160,771,495,1594758
336,160,771,496,1599085
336,161,771,497,1600431
336,161,773,497,1600431
336,161,774,497,1600431
336,161,775,497,1600431
336,161,776,497,1600431
336,161,781,497,1600431
336,161,786,497,1600431
339,164,787,503,1619402
339,164,794,503,1619402
339,164,801,503,1619402
339,164,808,503,1619402
339,164,815,503,1619402
339,164,822,503,1619402
339,164,829,503,1619402
339,164,836,503,1619402
339,164,843,503,1619402
344,164,845,508,1638218
346,164,845,510,1645377
346,165,845,511,1648472
346,166,845,512,1651392
346,166,845,512,1651392
346,166,845,512,1651392
346,166,845,512,1651392
346,166,845,512,1651392
346,166,845,512,1651392
346,166,845,512,1651392
347,166,847,513,1655719
349,166,847,515,1661933
349,166,847,515,1661933
349,166,847,515,1661933
349,166,847,515,1661933
349,166,847,515,1661933
349,166,847,515,1661933
350,166,848,516,1665104
351,166,848,517,1669867
351,167,848,518,1672083
352,168,848,520,1677770
352,168,848,520,1677770
352,168,848,520,1677770
352,168,848,520,1677770
352,168,848,520,1677770
352,168,848,520,1677770
352,168,854,520,1677770
352,168,854,520,1677770
353,168,855,521,1682022
353,169,855,522,1685937
354,169,856,523,1689463
354,170,859,524,1691768
354,172,861,526,1697493
354,174,865,528,1701700
354,174,869,528,1701700
354,175,869,529,1705388
354,177,869,531,1711432
354,177,869,531,1711432
354,177,869,531,1711432
354,177,876,531,1711432
354,177,883,531,1711432
354,177,890,531,1711432
354,177,897,531,1711432
354,177,904,531,1711432
354,177,911,531,1711432
354,177,918,531,1711432
354,177,925,531,1711432
354,177,929,531,1711432
354,177,933,531,1711432
354,177,936,531,1711432
354,177,938,531,1711432
354,177,945,531,1711432
354,177,952,531,1711432
354,177,959,531,1711432
354,177,966,531,1711432
354,177,973,531,1711432
354,177,980,531,1711432
355,177,982,532,1716421
355,177,983,532,1716421
355,177,984,532,1716421
357,177,987,534,1722635
357,177,992,534,1722635
357,177,997,534,1722635
357,177,1002,534,1722635
357,177,1007,534,1722635
357,177,1010,534,1722635
357,177,1012,534,1722635
357,177,1017,534,1722635
357,177,1022,534,1722635
357,177,1027,534,1722635
357,177,1032,534,1722635
357,177,1037,534,1722635
357,177,1044,534,1722635
