Memory  Disk  CPU\n
3.32% 77% 0.19%
3.32% 77% 0.19%
3.31% 77% 0.17%
3.31% 77% 0.17%
3.32% 77% 0.17%
3.32% 77% 0.17%
3.32% 77% 0.16%
3.32% 77% 0.16%
3.32% 77% 0.16%
3.32% 77% 0.16%
3.31% 77% 0.16%
3.32% 77% 0.14%
3.32% 77% 0.14%
3.32% 77% 0.14%
3.31% 77% 0.14%
3.31% 77% 0.13%
3.31% 77% 0.13%
3.32% 77% 0.13%
3.32% 77% 0.13%
3.32% 77% 0.12%
3.32% 77% 0.12%
3.32% 77% 0.12%
3.32% 77% 0.12%
3.32% 77% 0.12%
3.32% 77% 0.11%
3.33% 77% 0.11%
3.31% 77% 0.11%
3.32% 77% 0.11%
3.33% 77% 0.10%
3.33% 77% 0.10%
3.34% 77% 0.10%
3.34% 77% 0.10%
3.37% 77% 0.09%
3.37% 77% 0.09%
3.37% 77% 0.09%
3.37% 77% 0.09%
3.39% 77% 0.09%
3.40% 77% 0.09%
3.40% 77% 0.09%
3.41% 77% 0.09%
3.42% 77% 0.09%
3.42% 77% 0.08%
3.42% 77% 0.08%
3.44% 77% 0.08%
3.44% 77% 0.08%
3.46% 77% 0.07%
3.46% 77% 0.07%
3.46% 77% 0.07%
3.46% 77% 0.07%
3.48% 77% 0.07%
3.49% 77% 0.07%
3.49% 77% 0.07%
3.50% 77% 0.07%
3.50% 77% 0.07%
3.51% 77% 0.06%
3.51% 77% 0.06%
3.51% 77% 0.06%
3.53% 77% 0.06%
3.54% 77% 0.06%
3.54% 77% 0.06%
3.56% 77% 0.06%
3.56% 77% 0.06%
3.58% 77% 0.05%
3.59% 77% 0.05%
3.61% 77% 0.05%
3.61% 77% 0.05%
3.61% 77% 0.05%
3.62% 77% 0.05%
3.61% 77% 0.05%
3.62% 77% 0.05%
3.63% 77% 0.05%
3.63% 77% 0.04%
3.64% 77% 0.04%
3.64% 77% 0.04%
3.66% 77% 0.04%
3.68% 77% 0.04%
3.69% 77% 0.04%
3.69% 77% 0.04%
3.69% 77% 0.04%
3.69% 77% 0.04%
3.69% 77% 0.04%
3.71% 77% 0.04%
3.72% 77% 0.04%
3.72% 77% 0.04%
3.73% 77% 0.03%
3.73% 77% 0.03%
3.74% 77% 0.03%
3.75% 77% 0.03%
3.75% 77% 0.11%
3.76% 77% 0.11%
